"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2024,"Aston Villa","Premier League","Tim Iroegbunam","ENG","MF","20",2003,1.8,55,54,1,1,0,0,0,0,0,0,0,0,51,0,1,"https://fbref.com/en/players/84c5ceea/Tim-Iroegbunam"
2024,"Aston Villa","Premier League","Boubacar Kamara","FRA","MF","23",1999,18.4,1035,994,40,32,6,8,2,8,0,0,0,0,922,1,13,"https://fbref.com/en/players/cc77354e/Boubacar-Kamara"
2024,"Aston Villa","Premier League","Omari Kellyman","ENG","FW","17",2005,0.4,7,6,1,0,0,0,0,0,0,0,0,0,6,0,0,"https://fbref.com/en/players/aa888da7/Omari-Kellyman"
2024,"Aston Villa","Premier League","Kaine Kesler-Hayden","ENG","MF,DF","20",2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9b066938/Kaine-Kesler-Hayden"
2024,"Aston Villa","Premier League","Ezri Konsa","ENG","DF","25",1997,34.1,2094,1896,197,71,1,0,17,123,0,0,0,0,1907,1,24,"https://fbref.com/en/players/0313a347/Ezri-Konsa"
2024,"Aston Villa","Premier League","Clément Lenglet","FRA","DF","28",1995,12.8,918,859,58,40,0,8,3,4,0,0,0,0,822,1,3,"https://fbref.com/en/players/4f28a6ff/Clement-Lenglet"
2024,"Aston Villa","Premier League","Douglas Luiz","BRA","MF","25",1998,33.3,2101,1857,237,129,11,13,115,6,100,61,7,2,1800,7,21,"https://fbref.com/en/players/6f7d826d/Douglas-Luiz"
2024,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","30",1992,33.5,1436,1170,259,100,0,0,0,0,0,0,0,0,1190,7,1,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2024,"Aston Villa","Premier League","John McGinn","SCO","MF,FW","28",1994,33.3,1223,1137,82,31,15,8,74,3,37,28,0,0,972,4,25,"https://fbref.com/en/players/90f91999/John-McGinn"
2024,"Aston Villa","Premier League","Tyrone Mings","ENG","DF","30",1993,0.3,5,5,0,0,1,0,0,0,0,0,0,0,5,0,0,"https://fbref.com/en/players/8397a50c/Tyrone-Mings"
2024,"Aston Villa","Premier League","Álex Moreno","ESP","DF","30",1993,11.5,542,435,106,9,0,0,37,97,0,0,0,0,428,1,33,"https://fbref.com/en/players/16e9d0ea/Alex-Moreno"
2024,"Aston Villa","Premier League","Finley Munroe","ENG","MF","18",2005,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"https://fbref.com/en/players/36625c27/Finley-Munroe"
2024,"Aston Villa","Premier League","Robin Olsen","SWE","GK","33",1990,4.5,203,163,40,13,0,0,0,0,0,0,0,0,165,0,0,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
2024,"Aston Villa","Premier League","Jaden Philogene Bidace","ENG","FW","21",2002,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,"https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace"
2024,"Aston Villa","Premier League","Jacob Ramsey","ENG","FW,MF","22",2001,9.5,322,310,12,1,3,0,11,1,10,3,0,0,257,0,9,"https://fbref.com/en/players/1544f145/Jacob-Ramsey"
2024,"Aston Villa","Premier League","Morgan Rogers","ENG","MF,FW","21",2002,7.1,195,182,10,0,2,2,2,2,0,0,0,0,147,3,7,"https://fbref.com/en/players/2e5915f1/Morgan-Rogers"
2024,"Aston Villa","Premier League","Youri Tielemans","BEL","MF,FW","26",1997,18,949,891,54,14,17,3,31,7,18,12,3,0,789,4,21,"https://fbref.com/en/players/56f7a928/Youri-Tielemans"
2024,"Aston Villa","Premier League","Pau Torres","ESP","DF","26",1997,27.4,1788,1663,120,79,1,26,8,5,0,0,0,0,1562,5,9,"https://fbref.com/en/players/532e1e4f/Pau-Torres"
2024,"Aston Villa","Premier League","Bertrand Traoré","BFA","DF,FW","27",1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,"https://fbref.com/en/players/c47541e0/Bertrand-Traore"
