"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2024,"Almería","La Liga","Léo Baptistão","BRA","FW","30",1992,20.4,366,568,64.4,5127,1333,217,297,73.1,104,157,66.2,23,49,46.9,0,1.8,1,-1.8,19,21,8,2,45,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2024,"Almería","La Liga","Juan Brandáriz","ESP","DF","24",1999,27,1044,1208,86.4,18403,6336,425,465,91.4,537,565,95,70,143,49,1,1.4,0.6,-0.4,4,44,3,1,68,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2024,"Almería","La Liga","Álex Centelles","ESP","DF","25",1997,10.9,400,544,73.5,6993,2843,193,214,90.2,162,199,81.4,39,96,40.6,1,1.6,1,-0.6,11,35,12,9,31,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2024,"Almería","La Liga","Adri Embarba","ESP","FW,MF","31",1992,27.5,609,928,65.6,9861,3039,339,396,85.6,179,263,68.1,67,173,38.7,2,4.4,3.6,-2.4,52,40,25,16,58,"https://fbref.com/en/players/db8f0eba/Adri-Embarba"
2024,"Almería","La Liga","Fernando","ESP","GK","33",1990,4,110,160,68.8,3175,2309,10,10,100,62,62,100,38,87,43.7,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/dabb2827/Fernando"
2024,"Almería","La Liga","Rachad Fettal","MAR","FW","18",2005,0.2,4,6,66.7,46,20,3,4,75,1,1,100,0,0,NA,0,0,0,0,1,0,0,0,0,"https://fbref.com/en/players/ae9a9b2d/Rachad-Fettal"
2024,"Almería","La Liga","Édgar González","ESP","DF,MF","26",1997,28,1150,1350,85.2,21329,8387,404,445,90.8,629,697,90.2,100,172,58.1,0,0.3,0.3,-0.3,7,51,3,1,72,"https://fbref.com/en/players/49d028db/Edgar-Gonzalez"
2024,"Almería","La Liga","Luis Javier Suárez","COL","FW","25",1997,10.2,150,202,74.3,2505,389,75,91,82.4,59,71,83.1,12,17,70.6,0,0.6,0.5,-0.6,7,14,2,1,15,"https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez"
2024,"Almería","La Liga","Kaiky","BRA","DF","19",2004,5.8,217,263,82.5,4550,1819,58,67,86.6,122,133,91.7,30,52,57.7,0,0,0,0,1,18,1,0,24,"https://fbref.com/en/players/55634fb8/Kaiky"
2024,"Almería","La Liga","Ibrahima Koné","MLI","FW","24",1999,3.1,38,56,67.9,533,141,22,30,73.3,13,18,72.2,2,3,66.7,0,0.1,0.5,-0.1,2,0,0,0,3,"https://fbref.com/en/players/04bb2b06/Ibrahima-Kone"
2024,"Almería","La Liga","Bruno Langa","MOZ","DF","25",1997,9.1,307,400,76.8,5062,2470,153,176,86.9,123,153,80.4,24,51,47.1,0,0.4,0.3,-0.4,7,18,8,3,25,"https://fbref.com/en/players/72947847/Bruno-Langa"
2024,"Almería","La Liga","Lázaro","BRA","FW,MF","21",2002,3.2,69,100,69,1137,308,35,47,74.5,24,29,82.8,6,13,46.2,0,0.5,0.3,-0.5,6,4,1,0,6,"https://fbref.com/en/players/86ff856b/Lazaro"
2024,"Almería","La Liga","Dion Lopy","SEN","MF","21",2002,21.3,745,882,84.5,14551,3507,276,316,87.3,340,384,88.5,110,137,80.3,0,1.2,0.7,-1.2,13,81,8,1,90,"https://fbref.com/en/players/64c14d49/Dion-Lopy"
2024,"Almería","La Liga","Anthony Lozano","HON","FW","30",1993,8.6,98,136,72.1,1362,383,48,61,78.7,36,43,83.7,4,7,57.1,0,0.7,0.2,-0.7,7,12,1,0,16,"https://fbref.com/en/players/38699c72/Anthony-Lozano"
2024,"Almería","La Liga","Diego Mariño","ESP","GK","33",1990,1,23,27,85.2,429,237,11,11,100,10,10,100,2,6,33.3,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2024,"Almería","La Liga","Luís Maximiano","POR","GK","24",1999,33,833,1266,65.8,22967,17069,144,144,100,424,434,97.7,265,681,38.9,0,0,0,0,0,11,0,0,0,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2024,"Almería","La Liga","Gonzalo Melero","ESP","MF,FW","29",1994,12.3,381,465,81.9,5720,1633,210,245,85.7,143,164,87.2,17,26,65.4,1,1.2,0.9,-0.2,11,44,7,0,49,"https://fbref.com/en/players/3902e91b/Gonzalo-Melero"
2024,"Almería","La Liga","Houboulang Mendes","GNB","DF","25",1998,4.4,129,177,72.9,2191,1089,62,69,89.9,54,75,72,10,22,45.5,0,0,0,0,1,12,1,1,9,"https://fbref.com/en/players/1545cf15/Houboulang-Mendes"
2024,"Almería","La Liga","Marko Milovanović","SRB","FW,MF","19",2003,3.4,43,68,63.2,457,59,30,41,73.2,9,15,60,0,2,0,0,0.1,0.1,-0.1,2,3,1,0,3,"https://fbref.com/en/players/1fda2b14/Marko-Milovanovic"
