"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2024,"Heidenheim","Bundesliga","Kevin Müller","GER","GK","32",1991,34,34,3060,34,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5,"https://fbref.com/en/players/f256f213/Kevin-Muller"
2024,"Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","27",1996,37,37,3330,37,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo"
2024,"Hellas Verona","Serie A","Simone Perilli","ITA","GK","28",1995,1,1,90,1,2,2,10,8,80,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/b9e11c1d/Simone-Perilli"
2024,"Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","33",1990,34,34,3060,34,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60,"https://fbref.com/en/players/47064058/Oliver-Baumann"
2024,"Inter","Serie A","Emil Audero","ITA","GK","26",1997,4,4,337,3.7,3,0.8,11,8,72.7,2,1,1,2,50,0,0,0,0,NA,"https://fbref.com/en/players/649b01d8/Emil-Audero"
2024,"Inter","Serie A","Raffaele Di Gennaro","ITA","GK","29",1993,1,0,23,0.3,0,0,4,4,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/7a4050d5/Raffaele-Di-Gennaro"
2024,"Inter","Serie A","Yann Sommer","SUI","GK","34",1988,34,34,3060,34,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
2024,"Juventus","Serie A","Mattia Perin","ITA","GK","30",1992,3,3,225,2.5,1,0.4,5,4,80,2,1,0,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
2024,"Juventus","Serie A","Carlo Pinsoglio","ITA","GK","33",1990,1,0,45,0.5,0,0,3,3,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/f6a06749/Carlo-Pinsoglio"
2024,"Juventus","Serie A","Wojciech Szczęsny","POL","GK","33",1990,35,35,3150,35,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
2024,"Köln","Bundesliga","Marvin Schwäbe","GER","GK","28",1995,34,34,3060,34,60,1.76,168,108,66.1,5,12,17,4,11.8,3,3,0,0,0,"https://fbref.com/en/players/87436846/Marvin-Schwabe"
2024,"Las Palmas","La Liga","Aarón Escandell","ESP","GK","27",1995,2,1,153,1.7,3,1.76,4,1,25,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/67669ce7/Aaron-Escandell"
2024,"Las Palmas","La Liga","Álvaro Vallés","ESP","GK","26",1997,37,37,3263,36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5,"https://fbref.com/en/players/0166a73e/Alvaro-Valles"
2024,"Lazio","Serie A","Christos Mandas","GRE","GK","21",2001,9,8,721,8,6,0.75,29,23,79.3,6,1,1,4,50,0,0,0,0,NA,"https://fbref.com/en/players/f794e9ab/Christos-Mandas"
2024,"Lazio","Serie A","Ivan Provedel","ITA","GK","29",1994,30,30,2699,30,33,1.1,119,86,73.9,12,6,12,9,30,3,2,0,1,0,"https://fbref.com/en/players/277da414/Ivan-Provedel"
2024,"Le Havre","Ligue 1","Arthur Desmas","FRA","GK","29",1994,33,33,2970,33,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50,"https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas"
2024,"Le Havre","Ligue 1","Mathieu Gorgelin","FRA","GK","32",1990,1,1,90,1,2,2,5,3,80,0,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/4d3e9033/Mathieu-Gorgelin"
